                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4348,                 1.0349,                 1.0004,                0.68883,                0.36975,                0.41927,                0.23959,                 1.1398,                 0.5492,                0.85412,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.5742,                 1.4272,                0.99129,                0.69495,                0.36134,                0.41892,                 0.2398,                 1.1363,                0.54693,                  0.856,               0.095497,              0.0004967,              0.0004967
                      2,                  1.621,                 1.2705,                 1.0666,                0.69872,                0.35083,                0.41913,                0.24723,                 1.1047,                0.54823,                0.85075,               0.092789,             0.00078944,             0.00078944
                      3,                 1.7167,                 1.5868,                 1.0867,                0.62932,                0.32773,                0.40689,                0.23925,                 1.1303,                0.54973,                0.85207,               0.090078,              0.0010782,              0.0010782
                      4,                 1.5045,                0.93478,                0.99033,                  0.631,                0.35927,                 0.4041,                0.22057,                 1.1721,                0.53825,                0.85421,               0.087363,               0.001363,               0.001363
                      5,                 1.2072,                0.75926,                   0.92,                 0.6561,                0.34454,                0.38943,                0.21498,                 1.1623,                0.54006,                0.85335,               0.084644,              0.0016439,              0.0016439
                      6,                 1.4283,                0.76501,                0.97589,                0.62258,                0.31933,                0.36724,                 0.2098,                  1.141,                0.53758,                0.84857,               0.081921,              0.0019208,              0.0019208
                      7,                 1.4642,                0.90437,                0.95553,                0.76505,                0.36134,                 0.4107,                0.20527,                 1.1745,                0.57181,                0.84588,               0.079194,              0.0021937,              0.0021937
                      8,                 1.1512,                 0.6374,                0.88721,                0.66097,                0.36134,                0.39582,                0.19989,                 1.1593,                0.56204,                0.85045,               0.076463,              0.0024627,              0.0024627
                      9,                 1.4422,                0.81747,                 1.1163,                 0.6905,                0.32773,                0.37479,                0.19918,                 1.2221,                0.64448,                  0.854,               0.073728,              0.0027277,              0.0027277
                     10,                 1.2214,                0.64721,                0.89279,                0.58677,                0.32221,                0.36424,                0.18743,                 1.3509,                0.61428,                0.86313,               0.070989,              0.0029888,              0.0029888
                     11,                 1.2939,                0.64488,                0.94495,                0.64564,                0.32773,                0.37792,                 0.1985,                 1.3062,                0.69939,                0.85657,               0.068246,              0.0032459,              0.0032459
                     12,                  1.096,                0.59322,                0.93098,                 0.4568,                0.28571,                0.33225,                0.18501,                 1.3283,                0.62897,                0.86035,               0.065499,               0.003499,               0.003499
                     13,                 1.2684,                0.67847,                0.92192,                0.59491,                0.27731,                0.32454,                0.18795,                 1.3095,                0.61953,                0.86848,               0.062748,              0.0037482,              0.0037482
                     14,                 1.2756,                0.64265,                0.90498,                0.46475,                0.36134,                0.34511,                0.18169,                 1.3813,                0.76139,                0.87518,               0.059993,              0.0039934,              0.0039934
                     15,                 1.2946,                0.64766,                0.91375,                0.61282,                 0.2605,                0.32962,                0.16448,                 1.4744,                0.66973,                0.89235,               0.057235,              0.0042347,              0.0042347
                     16,                 1.1673,                0.62995,                0.89904,                0.55155,                0.33613,                0.34704,                 0.1801,                 1.4106,                0.67575,                0.89197,               0.054472,               0.004472,               0.004472
                     17,                  1.183,                0.62986,                0.92202,                0.50304,                0.29412,                0.32742,                0.17531,                 1.4313,                0.69813,                  0.891,               0.051705,              0.0047053,              0.0047053
                     18,                 1.3133,                 0.6269,                0.91764,                0.66132,                0.32773,                0.36011,                0.18128,                 1.4061,                0.70481,                0.87775,               0.048935,              0.0049347,              0.0049347
                     19,                 1.5429,                0.78919,                0.96254,                 0.6336,                0.30519,                0.35862,                0.18609,                 1.4412,                0.71815,                 0.8785,                0.04616,              0.0051601,              0.0051601
                     20,                 1.3625,                0.84121,                0.95399,                0.65223,                0.33613,                0.35742,                0.17825,                 1.3752,                0.93115,                0.87942,               0.043382,              0.0053816,              0.0053816
                     21,                 1.4377,                 1.3647,                 0.9059,                0.64497,                0.33613,                0.36848,                0.17388,                  1.362,                  0.963,                0.87785,               0.040599,              0.0055991,              0.0055991
                     22,                 1.5478,                 1.4913,                0.97423,                0.71995,                0.26891,                 0.3962,                0.18657,                 1.3459,                0.84277,                0.88298,               0.037813,              0.0058126,              0.0058126
                     23,                 1.2138,                 1.0483,                0.90269,                0.54672,                0.30252,                0.32187,                0.16463,                 1.3988,                 0.7952,                0.87313,               0.035022,              0.0060222,              0.0060222
                     24,                 1.0421,                0.71111,                0.86133,                0.52768,                0.29412,                0.34087,                0.17799,                 1.4741,                0.70152,                 0.8843,               0.032228,              0.0062278,              0.0062278
                     25,                 1.6065,                0.79412,                0.91495,                0.64513,                0.27731,                0.31527,                0.15009,                  1.506,                0.84185,                 0.8899,               0.029429,              0.0064295,              0.0064295
                     26,                 1.3606,                0.89911,                0.90678,                0.55003,                0.23627,                0.32234,                0.16978,                 1.5277,                 1.0605,                0.90488,               0.026627,              0.0066272,              0.0066272
                     27,                 1.7043,                 1.4968,                0.96409,                0.46075,                0.30252,                0.29137,                0.15387,                 1.5104,                0.79257,                0.89688,               0.023821,              0.0068209,              0.0068209
                     28,                 1.3579,                0.78028,                0.92777,                0.46075,                0.30252,                0.29137,                0.15387,                 1.5104,                0.79257,                0.89688,               0.021011,              0.0070107,              0.0070107
                     29,                  1.186,                0.82069,                0.92534,                0.60434,                0.33613,                0.36318,                0.15345,                 1.6279,                0.87778,                0.92582,               0.018197,              0.0071965,              0.0071965
                     30,                 1.6503,                 1.0089,                0.97519,                0.57477,                 0.2521,                0.28935,                0.15604,                 1.5182,                0.78911,                0.91263,               0.015378,              0.0073784,              0.0073784
                     31,                 1.4129,                 1.1578,                0.97176,                0.73932,                0.27731,                0.32036,                0.16547,                  1.472,                 1.0012,                0.90247,               0.012556,              0.0075563,              0.0075563
                     32,                 1.4868,                 1.0634,                0.94687,                0.73932,                0.27731,                0.32036,                0.16547,                  1.472,                 1.0012,                0.90247,              0.0097302,              0.0077302,              0.0077302
                     33,                 1.3629,                0.83822,                0.90407,                 0.5026,                 0.2521,                0.27958,                0.14463,                 1.5583,                0.78404,                0.92897,               0.007822,               0.007822,               0.007822
                     34,                 1.5049,                0.95151,                0.92458,                0.54911,                0.27731,                 0.3028,                0.13008,                 1.6947,                 1.0328,                  0.977,               0.007822,               0.007822,               0.007822
                     35,                 1.6165,                0.98376,                0.96283,                0.54101,                0.21008,                0.27885,                0.14589,                 1.6465,                0.94761,                0.98686,               0.007756,               0.007756,               0.007756
                     36,                  1.413,                 1.3799,                0.93006,                0.54101,                0.21008,                0.27885,                0.14589,                 1.6465,                0.94761,                0.98686,                0.00769,                0.00769,                0.00769
                     37,                 1.4658,                 1.0452,                0.98267,                 0.5562,                 0.2605,                0.28929,                0.14395,                 1.6543,                 1.0317,                 0.9768,               0.007624,               0.007624,               0.007624
                     38,                 1.4482,                0.89838,                0.94089,                0.67261,                0.22689,                0.26301,                0.11714,                  1.739,                 1.2318,                0.97059,               0.007558,               0.007558,               0.007558
                     39,                 1.4536,                0.89906,                0.94051,                0.46933,                0.34454,                0.32198,                0.13941,                 1.6854,                0.80049,                0.96472,               0.007492,               0.007492,               0.007492
                     40,                 1.5629,                0.88185,                 0.9373,                0.46933,                0.34454,                0.32198,                0.13941,                 1.6854,                0.80049,                0.96472,               0.007426,               0.007426,               0.007426
