file,DertResNet50,YOLOv8,insightface,SAHI_YOLOv8,YOLOv8x_BB158_500_t16_b
2022-08-27_16-00-16.jpg,143.000,143.000,143.000,143.000,143.000
2022-08-27_16-10-15.jpg,147.000,147.000,147.000,147.000,147.000
2022-08-27_16-20-16.jpg,106.000,106.000,106.000,106.000,106.000
2022-08-27_16-30-16.jpg,185.000,185.000,185.000,185.000,185.000
2022-08-27_16-40-16.jpg,21.000,21.000,21.000,21.000,21.000
2022-08-27_16-50-15.jpg,163.000,163.000,163.000,163.000,163.000
2022-08-27_17-00-16.jpg,39.000,39.000,39.000,39.000,39.000
2022-08-27_17-10-15.jpg,127.000,127.000,127.000,127.000,127.000
2022-08-27_17-20-16.jpg,25.000,25.000,25.000,25.000,25.000
2022-08-27_17-30-16.jpg,95.000,95.000,95.000,95.000,95.000
2022-08-27_17-40-16.jpg,75.000,75.000,75.000,75.000,75.000
2022-08-27_17-50-16.jpg,120.000,120.000,120.000,120.000,120.000
2022-08-27_18-10-16.jpg,91.000,91.000,91.000,91.000,91.000
2022-08-27_18-10-17.jpg,72.000,72.000,72.000,72.000,72.000
2022-08-27_18-30-16.jpg,43.000,43.000,43.000,43.000,43.000
2022-08-27_18-40-17.jpg,46.000,46.000,46.000,46.000,46.000
2022-08-27_18-50-15.jpg,51.000,51.000,51.000,51.000,51.000
2022-08-28_10-40-16.jpg,32.000,32.000,32.000,32.000,32.000
2022-08-28_11-10-16.jpg,40.000,40.000,40.000,40.000,40.000
2022-08-28_11-30-17.jpg,70.000,70.000,70.000,70.000,70.000
2022-08-28_12-00-15.jpg,88.000,88.000,88.000,88.000,88.000
2022-08-28_12-00-17.jpg,63.000,63.000,63.000,63.000,63.000
2022-08-28_12-20-16.jpg,81.000,81.000,81.000,81.000,81.000
2022-08-28_12-40-16.jpg,88.000,88.000,88.000,88.000,88.000
2022-08-28_13-00-16.jpg,118.000,118.000,118.000,118.000,118.000
2022-08-28_13-10-16.jpg,12.000,12.000,12.000,12.000,12.000
2022-08-28_13-20-16.jpg,94.000,94.000,94.000,94.000,94.000
2022-08-28_13-40-15.jpg,116.000,116.000,116.000,116.000,116.000
2022-08-28_14-00-15.jpg,118.000,118.000,118.000,118.000,118.000
2022-08-28_14-00-16.jpg,33.000,33.000,33.000,33.000,33.000
2022-08-28_14-00-17.jpg,114.000,114.000,114.000,114.000,114.000
2022-08-28_14-20-16.jpg,151.000,151.000,151.000,151.000,151.000
2022-08-28_14-30-16.jpg,103.000,103.000,103.000,103.000,103.000
2022-08-28_14-50-16.jpg,139.000,139.000,139.000,139.000,139.000
2022-08-28_15-00-16.jpg,167.000,167.000,167.000,167.000,167.000
2022-08-28_15-10-15.jpg,20.000,20.000,20.000,20.000,20.000
2022-08-28_15-20-16.jpg,183.000,183.000,183.000,183.000,183.000
2022-08-28_15-30-16.jpg,23.000,23.000,23.000,23.000,23.000
2022-08-28_15-40-15.jpg,113.000,113.000,113.000,113.000,113.000
2022-08-28_15-40-16.jpg,148.000,148.000,148.000,148.000,148.000
2022-08-28_16-00-14.jpg,20.000,20.000,20.000,20.000,20.000
2022-08-28_16-00-15.jpg,167.000,167.000,167.000,167.000,167.000
2022-08-28_16-20-15.jpg,180.000,180.000,180.000,180.000,180.000
2022-08-28_16-20-16.jpg,34.000,34.000,34.000,34.000,34.000
2022-08-28_16-40-16.jpg,27.000,27.000,27.000,27.000,27.000
2022-08-28_16-50-16.jpg,169.000,169.000,169.000,169.000,169.000
2022-08-28_16-50-17.jpg,127.000,127.000,127.000,127.000,127.000
2022-08-28_17-10-16.jpg,117.000,117.000,117.000,117.000,117.000
2022-08-28_17-20-17.jpg,79.000,79.000,79.000,79.000,79.000
2022-08-28_17-30-16.jpg,123.000,123.000,123.000,123.000,123.000
2022-08-28_17-40-16.jpg,12.000,12.000,12.000,12.000,12.000
2022-08-28_17-40-17.jpg,58.000,58.000,58.000,58.000,58.000
2022-08-28_17-50-16.jpg,66.000,66.000,66.000,66.000,66.000
2022-08-28_18-10-16.jpg,63.000,63.000,63.000,63.000,63.000
2022-08-29_11-33-48.jpg,8.000,8.000,8.000,8.000,8.000
2022-08-29_12-13-48.jpg,16.000,16.000,16.000,16.000,16.000
2022-08-29_12-26-48.jpg,12.000,12.000,12.000,12.000,12.000
2022-08-29_12-33-47.jpg,22.000,22.000,22.000,22.000,22.000
