file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-08-27_12-50-16.jpg,precision,0.680,0.000,0.929,0.852,0.922,0.872,YOLOv8x_pre_BB426
2022-08-27_12-50-16.jpg,recall,0.155,0.000,0.118,0.209,0.755,0.682,YOLOv8x_BB158_500_t16_b
2022-08-27_12-50-16.jpg,f1score,0.252,0.000,0.210,0.336,0.830,0.765,YOLOv8x_BB158_500_t16_b
2022-08-27_12-50-16.jpg,support,110.000,0.000,110.000,110.000,110.000,110.000,DertResNet50_pre_BB426
2022-08-27_12-50-16.jpg,mAP,0.018,0.000,0.065,0.143,0.487,0.365,YOLOv8x_BB158_500_t16_b
2022-08-27_15-20-15.jpg,accuracy,0.138,0.000,0.139,0.226,0.760,0.630,YOLOv8x_BB158_500_t16_b
2022-08-27_15-20-15.jpg,precision,0.909,0.000,0.952,0.917,0.942,0.898,YOLOv8x_pre_BB426
2022-08-27_15-20-15.jpg,recall,0.140,0.000,0.140,0.231,0.797,0.678,YOLOv8x_BB158_500_t16_b
2022-08-27_15-20-15.jpg,f1score,0.242,0.000,0.244,0.369,0.864,0.773,YOLOv8x_BB158_500_t16_b
2022-08-27_15-20-15.jpg,support,143.000,0.000,143.000,143.000,143.000,143.000,DertResNet50_pre_BB426
2022-08-27_15-20-15.jpg,mAP,0.064,0.000,0.102,0.140,0.504,0.338,YOLOv8x_BB158_500_t16_b
2022-08-27_15-40-16.jpg,accuracy,0.112,0.000,0.096,0.233,0.685,0.566,YOLOv8x_BB158_500_t16_b
2022-08-27_15-40-16.jpg,precision,0.818,0.000,0.938,0.925,0.926,0.839,YOLOv8x_pre_BB426
2022-08-27_15-40-16.jpg,recall,0.115,0.000,0.096,0.237,0.724,0.635,YOLOv8x_BB158_500_t16_b
2022-08-27_15-40-16.jpg,f1score,0.202,0.000,0.174,0.378,0.813,0.723,YOLOv8x_BB158_500_t16_b
2022-08-27_15-40-16.jpg,support,156.000,0.000,156.000,156.000,156.000,156.000,DertResNet50_pre_BB426
2022-08-27_15-40-16.jpg,mAP,0.048,0.000,0.072,0.153,0.436,0.342,YOLOv8x_BB158_500_t16_b
2022-08-27_17-00-16.jpg,accuracy,0.365,0.000,0.349,0.721,0.841,0.800,YOLOv8x_BB158_500_t16_b
2022-08-27_17-00-16.jpg,precision,0.655,0.000,0.938,0.969,0.949,0.923,YOLOv8x_pre_BB426_SAHI
2022-08-27_17-00-16.jpg,recall,0.452,0.000,0.357,0.738,0.881,0.857,YOLOv8x_BB158_500_t16_b
2022-08-27_17-00-16.jpg,f1score,0.535,0.000,0.517,0.838,0.914,0.889,YOLOv8x_BB158_500_t16_b
2022-08-27_17-00-16.jpg,support,42.000,0.000,42.000,42.000,42.000,42.000,DertResNet50_pre_BB426
2022-08-27_17-00-16.jpg,mAP,0.187,0.000,0.196,0.393,0.458,0.542,YOLOv8x_BB426_760_t31_b
2022-08-27_17-10-15.jpg,accuracy,0.126,0.000,0.114,0.278,0.642,0.533,YOLOv8x_BB158_500_t16_b
2022-08-27_17-10-15.jpg,precision,0.850,0.000,1.000,0.974,0.836,0.802,YOLOv8x_pre_BB426
2022-08-27_17-10-15.jpg,recall,0.129,0.000,0.114,0.280,0.735,0.614,YOLOv8x_BB158_500_t16_b
2022-08-27_17-10-15.jpg,f1score,0.224,0.000,0.204,0.435,0.782,0.695,YOLOv8x_BB158_500_t16_b
2022-08-27_17-10-15.jpg,support,132.000,0.000,132.000,132.000,132.000,132.000,DertResNet50_pre_BB426
2022-08-27_17-10-15.jpg,mAP,0.073,0.000,0.097,0.193,0.427,0.357,YOLOv8x_BB158_500_t16_b
2022-08-27_17-20-16.jpg,accuracy,0.239,0.000,0.393,0.741,0.889,0.815,YOLOv8x_BB158_500_t16_b
2022-08-27_17-20-16.jpg,precision,0.355,0.000,0.846,0.952,0.960,0.957,YOLOv8x_BB158_500_t16_b
2022-08-27_17-20-16.jpg,recall,0.423,0.000,0.423,0.769,0.923,0.846,YOLOv8x_BB158_500_t16_b
2022-08-27_17-20-16.jpg,f1score,0.386,0.000,0.564,0.851,0.941,0.898,YOLOv8x_BB158_500_t16_b
2022-08-27_17-20-16.jpg,support,26.000,0.000,26.000,26.000,26.000,26.000,DertResNet50_pre_BB426
2022-08-27_17-20-16.jpg,mAP,0.114,0.000,0.274,0.520,0.662,0.666,YOLOv8x_BB426_760_t31_b
2022-08-27_17-30-16.jpg,accuracy,0.121,0.000,0.113,0.271,0.624,0.545,YOLOv8x_BB158_500_t16_b
2022-08-27_17-30-16.jpg,precision,0.560,0.000,0.923,0.935,0.796,0.788,YOLOv8x_pre_BB426_SAHI
2022-08-27_17-30-16.jpg,recall,0.133,0.000,0.114,0.276,0.743,0.638,YOLOv8x_BB158_500_t16_b
2022-08-27_17-30-16.jpg,f1score,0.215,0.000,0.203,0.426,0.768,0.705,YOLOv8x_BB158_500_t16_b
2022-08-27_17-30-16.jpg,support,105.000,0.000,105.000,105.000,105.000,105.000,DertResNet50_pre_BB426
2022-08-27_17-30-16.jpg,mAP,0.029,0.000,0.069,0.171,0.452,0.346,YOLOv8x_BB158_500_t16_b
2022-08-27_17-40-16.jpg,accuracy,0.064,0.000,0.110,0.268,0.705,0.606,YOLOv8x_BB158_500_t16_b
