file,DertResNet50,YOLOv8,insightface,SAHI_YOLOv8,YOLOv8x_BB158_500_t16_b
2022-08-27_16-00-16.jpg,0.079,0.068,0.042,0.193,0.739
2022-08-27_16-10-15.jpg,0.102,0.107,0.040,0.250,0.689
2022-08-27_16-20-16.jpg,0.143,0.111,0.071,0.250,0.808
2022-08-27_16-30-16.jpg,0.086,0.102,0.048,0.187,0.693
2022-08-27_16-40-16.jpg,0.500,0.619,0.318,0.682,1.000
2022-08-27_16-50-15.jpg,0.126,0.108,0.109,0.280,0.775
2022-08-27_17-00-16.jpg,0.388,0.375,0.171,0.732,0.950
2022-08-27_17-10-15.jpg,0.131,0.118,0.093,0.279,0.855
2022-08-27_17-20-16.jpg,0.244,0.407,0.120,0.769,1.000
2022-08-27_17-30-16.jpg,0.132,0.125,0.053,0.286,0.708
2022-08-27_17-40-16.jpg,0.067,0.115,0.053,0.266,0.825
2022-08-27_17-50-16.jpg,0.121,0.150,0.074,0.287,0.754
2022-08-27_18-10-16.jpg,0.147,0.165,0.120,0.387,0.810
2022-08-27_18-10-17.jpg,0.173,0.216,0.151,0.432,0.844
2022-08-27_18-30-16.jpg,0.192,0.205,0.023,0.467,0.600
2022-08-27_18-40-17.jpg,0.196,0.234,0.087,0.479,0.872
2022-08-27_18-50-15.jpg,0.180,0.173,0.096,0.577,0.705
2022-08-28_10-40-16.jpg,0.149,0.222,0.091,0.514,0.757
2022-08-28_11-10-16.jpg,0.115,0.200,0.024,0.512,0.744
2022-08-28_11-30-17.jpg,0.190,0.167,0.085,0.315,0.753
2022-08-28_12-00-15.jpg,0.196,0.180,0.112,0.333,0.794
2022-08-28_12-00-17.jpg,0.162,0.175,0.143,0.369,0.879
2022-08-28_12-20-16.jpg,0.207,0.171,0.136,0.333,0.867
2022-08-28_12-40-16.jpg,0.161,0.121,0.100,0.319,0.789
2022-08-28_13-00-16.jpg,0.157,0.153,0.142,0.258,0.854
2022-08-28_13-10-16.jpg,0.292,0.538,0.154,0.600,1.000
2022-08-28_13-20-16.jpg,0.112,0.138,0.062,0.309,0.863
2022-08-28_13-40-15.jpg,0.136,0.111,0.078,0.192,0.879
2022-08-28_14-00-15.jpg,0.093,0.101,0.050,0.223,0.809
2022-08-28_14-00-16.jpg,0.455,0.314,0.091,0.500,0.882
2022-08-28_14-00-17.jpg,0.147,0.132,0.096,0.226,0.824
2022-08-28_14-20-16.jpg,0.094,0.092,0.065,0.176,0.767
2022-08-28_14-30-16.jpg,0.118,0.114,0.075,0.168,0.860
2022-08-28_14-50-16.jpg,0.112,0.079,0.050,0.161,0.873
2022-08-28_15-00-16.jpg,0.085,0.083,0.036,0.222,0.744
2022-08-28_15-10-15.jpg,0.345,0.261,0.043,0.625,1.000
2022-08-28_15-20-16.jpg,0.090,0.087,0.059,0.191,0.749
2022-08-28_15-30-16.jpg,0.433,0.370,0.000,0.704,0.958
2022-08-28_15-40-15.jpg,0.127,0.157,0.060,0.233,0.864
2022-08-28_15-40-16.jpg,0.096,0.107,0.054,0.213,0.777
2022-08-28_16-00-14.jpg,0.387,0.545,0.150,0.773,1.000
2022-08-28_16-00-15.jpg,0.096,0.077,0.030,0.222,0.747
2022-08-28_16-20-15.jpg,0.104,0.088,0.083,0.266,0.808
2022-08-28_16-20-16.jpg,0.550,0.657,0.324,0.833,0.971
2022-08-28_16-40-16.jpg,0.469,0.414,0.259,0.655,1.000
2022-08-28_16-50-16.jpg,0.098,0.101,0.106,0.237,0.813
2022-08-28_16-50-17.jpg,0.132,0.134,0.133,0.295,0.888
2022-08-28_17-10-16.jpg,0.081,0.102,0.043,0.235,0.715
2022-08-28_17-20-17.jpg,0.181,0.215,0.139,0.450,0.816
2022-08-28_17-30-16.jpg,0.098,0.114,0.049,0.226,0.829
2022-08-28_17-40-16.jpg,0.733,0.643,0.083,0.769,1.000
2022-08-28_17-40-17.jpg,0.197,0.241,0.153,0.475,0.885
2022-08-28_17-50-16.jpg,0.189,0.176,0.076,0.403,0.819
2022-08-28_18-10-16.jpg,0.169,0.188,0.111,0.406,0.892
