file,DertResNet50,YOLOv8,insightface,SAHI_YOLOv8,YOLOv8x_BB158_500_t16_b
2022-08-27_16-00-16.jpg,0.146,0.127,0.081,0.324,0.850
2022-08-27_16-10-15.jpg,0.185,0.194,0.077,0.400,0.816
2022-08-27_16-20-16.jpg,0.250,0.200,0.133,0.400,0.894
2022-08-27_16-30-16.jpg,0.159,0.185,0.092,0.315,0.818
2022-08-27_16-40-16.jpg,0.667,0.765,0.483,0.811,1.000
2022-08-27_16-50-15.jpg,0.223,0.196,0.197,0.437,0.873
2022-08-27_17-00-16.jpg,0.559,0.545,0.292,0.845,0.974
2022-08-27_17-10-15.jpg,0.231,0.211,0.170,0.436,0.922
2022-08-27_17-20-16.jpg,0.393,0.579,0.214,0.870,1.000
2022-08-27_17-30-16.jpg,0.233,0.222,0.100,0.444,0.829
2022-08-27_17-40-16.jpg,0.125,0.207,0.100,0.420,0.904
2022-08-27_17-50-16.jpg,0.216,0.261,0.138,0.446,0.860
2022-08-27_18-10-16.jpg,0.257,0.283,0.214,0.558,0.895
2022-08-27_18-10-17.jpg,0.295,0.356,0.262,0.604,0.915
2022-08-27_18-30-16.jpg,0.323,0.340,0.045,0.636,0.750
2022-08-27_18-40-17.jpg,0.328,0.379,0.160,0.648,0.932
2022-08-27_18-50-15.jpg,0.306,0.295,0.175,0.732,0.827
2022-08-28_10-40-16.jpg,0.259,0.364,0.167,0.679,0.862
2022-08-28_11-10-16.jpg,0.206,0.333,0.048,0.677,0.853
2022-08-28_11-30-17.jpg,0.319,0.286,0.156,0.479,0.859
2022-08-28_12-00-15.jpg,0.328,0.305,0.202,0.500,0.885
2022-08-28_12-00-17.jpg,0.279,0.297,0.250,0.539,0.935
2022-08-28_12-20-16.jpg,0.342,0.292,0.239,0.500,0.929
2022-08-28_12-40-16.jpg,0.278,0.216,0.182,0.483,0.882
2022-08-28_13-00-16.jpg,0.271,0.265,0.248,0.411,0.921
2022-08-28_13-10-16.jpg,0.452,0.700,0.267,0.750,1.000
2022-08-28_13-20-16.jpg,0.202,0.243,0.117,0.472,0.926
2022-08-28_13-40-15.jpg,0.239,0.200,0.144,0.322,0.936
