                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6182,                 1.0219,                0.96708,                0.50567,                0.27322,                 0.2823,                 0.1264,                 1.8739,                 1.7975,                 1.0368,               0.008317,               0.008317,               0.008317
                     36,                 1.6414,                0.91888,                 0.9449,                0.60806,                0.26339,                0.28397,                0.11615,                 1.8825,                 1.4175,                0.99905,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.6862,                 0.8659,                0.94174,                  0.571,                0.25246,                0.27699,                0.12453,                 1.9964,                 1.5183,                 1.0644,               0.008218,               0.008218,               0.008218
                     38,                 1.7153,                0.88073,                0.95421,                0.53475,                0.30901,                0.30466,                0.13679,                 1.8139,                 1.4405,                 1.0106,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.7272,                0.86384,                0.97736,                0.50568,                 0.2612,                0.24273,                0.11182,                 1.9957,                 1.3778,                 1.0408,               0.008119,               0.008119,               0.008119
                     40,                 1.7648,                0.85642,                0.94593,                0.55777,                 0.3071,                0.32645,                0.15273,                 1.7957,                 1.1899,                 1.0141,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.7224,                0.85026,                 0.9406,                 0.5781,                0.28634,                0.28648,                 0.1288,                 1.9372,                 1.3866,                 1.0204,                0.00802,                0.00802,                0.00802
                     42,                 1.6784,                0.81861,                0.94257,                0.52484,                0.25954,                0.25715,                0.11967,                  1.767,                 1.2728,                0.97833,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.6308,                 0.8143,                0.94563,                0.54885,                0.27213,                0.28761,                0.12767,                 1.8031,                 1.1902,                0.98838,               0.007921,               0.007921,               0.007921
                     44,                 1.6877,                0.84861,                0.91822,                 0.5919,                0.25574,                0.27593,                 0.1229,                 2.0372,                 1.6338,                 1.0354,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6623,                0.82547,                0.95517,                0.51809,                0.28197,                0.29529,                0.14019,                 1.7037,                 1.0896,                 1.0195,               0.007822,               0.007822,               0.007822
                     46,                 1.6535,                0.85181,                0.95244,                0.55283,                0.28634,                0.29273,                0.12492,                 1.8986,                 1.2858,                 1.0396,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5903,                0.80817,                0.92768,                0.57836,                0.28306,                0.30965,                0.14088,                 2.0027,                 1.2061,                 1.0533,               0.007723,               0.007723,               0.007723
                     48,                 1.6903,                0.81694,                0.94929,                0.60862,                0.27432,                0.32477,                 0.1442,                 1.7598,                0.92743,                 1.0244,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.641,                0.80891,                0.93419,                0.45518,                0.29508,                0.30645,                0.14047,                 2.0309,                 1.0271,                 1.0586,               0.007624,               0.007624,               0.007624
                     50,                 1.6549,                0.83773,                0.93614,                0.52261,                0.28197,                0.30208,                0.14655,                 1.8028,                  1.062,                 1.0303,              0.0075745,              0.0075745,              0.0075745
